code;name;code_system;value_set
160324006;Family history of mental disorder;http://snomed.info/sct;SNOMED-CT
160305008;Family history of metabolic disorder;http://snomed.info/sct;SNOMED-CT
64131000119105;Family history of methylmalonic aciduria;http://snomed.info/sct;SNOMED-CT
94761000119100;Family history of microcephaly;http://snomed.info/sct;SNOMED-CT
473070008;Family history of mitochondrial disease;http://snomed.info/sct;SNOMED-CT
430730004;Family history of mitral valve regurgitation;http://snomed.info/sct;SNOMED-CT
443868006;Family history of morphea;http://snomed.info/sct;SNOMED-CT
430809001;Family history of movement disorder;http://snomed.info/sct;SNOMED-CT
138751000119109;Family history of Muir-Torré syndrome;http://snomed.info/sct;SNOMED-CT
64731000119106;Family history of multiple congenital anomalies;http://snomed.info/sct;SNOMED-CT
117351000119101;Family history of multiple endocrine neoplasia;http://snomed.info/sct;SNOMED-CT
434462008;Family history of multiple myeloma;http://snomed.info/sct;SNOMED-CT
401066000;Family history of myocardial infarct in first degree female relative less than 65 years of age;http://snomed.info/sct;SNOMED-CT
439154009;Family history of myocarditis;http://snomed.info/sct;SNOMED-CT
430041006;Family history of Ménière disease;http://snomed.info/sct;SNOMED-CT
266883004;Family history of neoplasm;http://snomed.info/sct;SNOMED-CT
430090006;Family history of neoplasm of brain;http://snomed.info/sct;SNOMED-CT
313102001;Family history of neoplasm of breast;http://snomed.info/sct;SNOMED-CT
1149519002;Family history of neoplasm of bronchus;http://snomed.info/sct;SNOMED-CT
297247000;Family history of neoplasm of lung;http://snomed.info/sct;SNOMED-CT
1149518005;Family history of neoplasm of trachea;http://snomed.info/sct;SNOMED-CT
439220002;Family history of neoplasm of upper aerodigestive tract;http://snomed.info/sct;SNOMED-CT
1149524004;Family history of neoplasm of urinary system;http://snomed.info/sct;SNOMED-CT
430808009;Family history of nephrotic syndrome;http://snomed.info/sct;SNOMED-CT
65021000119105;Family history of neurofibromatosis;http://snomed.info/sct;SNOMED-CT
64021000119106;Family history of neurological developmental delay;http://snomed.info/sct;SNOMED-CT
297239000;Family history of neurological disorder;http://snomed.info/sct;SNOMED-CT
430814002;Family history of neuropathy;http://snomed.info/sct;SNOMED-CT
329351000119105;Family history of non-glaucomatous eye disorder;http://snomed.info/sct;SNOMED-CT
433450000;Family history of non-Hodgkin's lymphoma;http://snomed.info/sct;SNOMED-CT
71251000119103;Family history of nonleukemic lymphatic malignancy;http://snomed.info/sct;SNOMED-CT
737366005;Family history of nutritional disorder;http://snomed.info/sct;SNOMED-CT
98041000119107;Family history of osteogenesis imperfecta;http://snomed.info/sct;SNOMED-CT
430716009;Family history of osteopenia;http://snomed.info/sct;SNOMED-CT
160313009;Family history of osteoporosis;http://snomed.info/sct;SNOMED-CT
297240003;Family history of Parkinson's disease;http://snomed.info/sct;SNOMED-CT
431170009;Family history of perinatal disorder;http://snomed.info/sct;SNOMED-CT
430807004;Family history of periodic limb movement disorder;http://snomed.info/sct;SNOMED-CT
297243001;Family history of pernicious anemia;http://snomed.info/sct;SNOMED-CT
64161000119102;Family history of phenylketonuria;http://snomed.info/sct;SNOMED-CT
412783008;Family history of polycystic ovary;http://snomed.info/sct;SNOMED-CT
781073000;Family history of polycystic ovary syndrome;http://snomed.info/sct;SNOMED-CT
429969003;Family history of polyp of colon;http://snomed.info/sct;SNOMED-CT
64851000119105;Family history of Prader-Willi syndrome;http://snomed.info/sct;SNOMED-CT
700190003;Family history of pre-eclampsia;http://snomed.info/sct;SNOMED-CT
433278001;Family history of presenile dementia;http://snomed.info/sct;SNOMED-CT
430334006;Family history of problem behavior;http://snomed.info/sct;SNOMED-CT
414205003;Family history of prostate cancer;http://snomed.info/sct;SNOMED-CT
109001000119105;Family history of protein C deficiency;http://snomed.info/sct;SNOMED-CT
109011000119108;Family history of protein C resistance;http://snomed.info/sct;SNOMED-CT
108981000119107;Family history of protein S deficiency;http://snomed.info/sct;SNOMED-CT
430543001;Family history of psoriasis with psoriatic arthritis;http://snomed.info/sct;SNOMED-CT
266969002;Family history of psychotic illness;http://snomed.info/sct;SNOMED-CT
430801003;Family history of pulmonary embolism;http://snomed.info/sct;SNOMED-CT
429953005;Family history of pulmonary emphysema;http://snomed.info/sct;SNOMED-CT
417648007;Family history of pulmonary infundibular stenosis;http://snomed.info/sct;SNOMED-CT
430681003;Family history of Raynaud phenomenon;http://snomed.info/sct;SNOMED-CT
741021002;Family history of relative killed;http://snomed.info/sct;SNOMED-CT
433381008;Family history of renal cell carcinoma;http://snomed.info/sct;SNOMED-CT
430682005;Family history of renal failure syndrome;http://snomed.info/sct;SNOMED-CT
416519002;Family history of renal stone;http://snomed.info/sct;SNOMED-CT
430565001;Family history of restless legs syndrome;http://snomed.info/sct;SNOMED-CT
11718821000119109;Family history of retinal detachment;http://snomed.info/sct;SNOMED-CT
71271000119107;Family history of retinitis pigmentosa;http://snomed.info/sct;SNOMED-CT
63921000119108;Family history of Rett syndrome;http://snomed.info/sct;SNOMED-CT
430777009;Family history of rheumatic fever;http://snomed.info/sct;SNOMED-CT
430778004;Family history of sarcoidosis;http://snomed.info/sct;SNOMED-CT
430544007;Family history of scoliosis deformity of spine;http://snomed.info/sct;SNOMED-CT
138721000119101;Family history of sebaceous adenoma;http://snomed.info/sct;SNOMED-CT
138711000119108;Family history of sebaceous carcinoma;http://snomed.info/sct;SNOMED-CT
430711004;Family history of seizure disorder;http://snomed.info/sct;SNOMED-CT
64921000119105;Family history of sex chromosome aneuploidy;http://snomed.info/sct;SNOMED-CT
69731000119107;Family history of short stature;http://snomed.info/sct;SNOMED-CT
160320002;Family history of sickle cell anemia;http://snomed.info/sct;SNOMED-CT
85951000119104;Family history of single congenital anomaly;http://snomed.info/sct;SNOMED-CT
430337004;Family history of sleep apnea;http://snomed.info/sct;SNOMED-CT
443877004;Family history of smoking;http://snomed.info/sct;SNOMED-CT
428932007;Family history of speech and language disorder;http://snomed.info/sct;SNOMED-CT
160419007;Family history of Spina bifida;http://snomed.info/sct;SNOMED-CT
430709008;Family history of spinal stenosis;http://snomed.info/sct;SNOMED-CT
63881000119101;Family history of spinocerebellar ataxia;http://snomed.info/sct;SNOMED-CT
700193001;Family history of squamous cell carcinoma of skin;http://snomed.info/sct;SNOMED-CT
63931000119106;Family history of Steinert myotonic dystrophy;http://snomed.info/sct;SNOMED-CT
429952000;Family history of stenosis of aortic valve;http://snomed.info/sct;SNOMED-CT
275104002;Family history of stroke;http://snomed.info/sct;SNOMED-CT
10624401000119102;Family history of stroke due to aneurysm;http://snomed.info/sct;SNOMED-CT
134591000119102;Family history of substance abuse;http://snomed.info/sct;SNOMED-CT
1254977008;Family history of substance dependency;http://snomed.info/sct;SNOMED-CT
117361000119104;Family history of sudden cardiac death;http://snomed.info/sct;SNOMED-CT
430283008;Family history of sudden death;http://snomed.info/sct;SNOMED-CT
430815001;Family history of syncope;http://snomed.info/sct;SNOMED-CT
431479003;Family history of synovial cyst of popliteal space;http://snomed.info/sct;SNOMED-CT
15627891000119105;Family history of systemic lupus erythematosus;http://snomed.info/sct;SNOMED-CT
443720007;Family history of systemic sclerosis;http://snomed.info/sct;SNOMED-CT
63901000119104;Family history of Tay-Sachs disease;http://snomed.info/sct;SNOMED-CT
699108005;Family history of tendinous xanthoma in first degree relative;http://snomed.info/sct;SNOMED-CT
699109002;Family history of tendinous xanthoma in second degree relative;http://snomed.info/sct;SNOMED-CT
430710003;Family history of thromboembolic disorder;http://snomed.info/sct;SNOMED-CT
430719002;Family history of tinnitus;http://snomed.info/sct;SNOMED-CT
160363004;Family history of transient ischemic attack;http://snomed.info/sct;SNOMED-CT
430726002;Family history of tremor;http://snomed.info/sct;SNOMED-CT
433496008;Family history of trigeminal neuralgia;http://snomed.info/sct;SNOMED-CT
64831000119104;Family history of trisomy 13;http://snomed.info/sct;SNOMED-CT
64841000119108;Family history of trisomy 18;http://snomed.info/sct;SNOMED-CT
417001009;Family history of tuberous sclerosis;http://snomed.info/sct;SNOMED-CT
64861000119107;Family history of Turner syndrome;http://snomed.info/sct;SNOMED-CT
297244007;Family history of urological disorder;http://snomed.info/sct;SNOMED-CT
430805007;Family history of uveitis;http://snomed.info/sct;SNOMED-CT
433449000;Family history of ventricular premature beats;http://snomed.info/sct;SNOMED-CT
430723005;Family history of visual disturbance;http://snomed.info/sct;SNOMED-CT
64971000119106;Family history of Von Hippel-Lindau syndrome;http://snomed.info/sct;SNOMED-CT
64521000119100;Family history of Von Willebrand disease;http://snomed.info/sct;SNOMED-CT
160340009;Family history: Cerebral palsy;http://snomed.info/sct;SNOMED-CT
275132006;Family history: Gynecological problem;http://snomed.info/sct;SNOMED-CT
160378006;Family history: Occupational lung disease;http://snomed.info/sct;SNOMED-CT
266966009;Family illness;http://snomed.info/sct;SNOMED-CT
288001000119103;Family member absent due to military deployment;http://snomed.info/sct;SNOMED-CT
740604001;Family member deceased;http://snomed.info/sct;SNOMED-CT
160436004;Father deceased;http://snomed.info/sct;SNOMED-CT
275140000;Father left home;http://snomed.info/sct;SNOMED-CT
160806000;Father remarried;http://snomed.info/sct;SNOMED-CT
161077003;Father smokes;http://snomed.info/sct;SNOMED-CT
720436008;Father with learning disability;http://snomed.info/sct;SNOMED-CT
315626001;FH angina female first degree age known;http://snomed.info/sct;SNOMED-CT
315627005;FH angina female first degree age unknown;http://snomed.info/sct;SNOMED-CT
315623009;FH angina male first degree age known;http://snomed.info/sct;SNOMED-CT
315625002;FH angina male first degree age unknown;http://snomed.info/sct;SNOMED-CT
315621006;FH myocardial infarction female first degree age known;http://snomed.info/sct;SNOMED-CT
315622004;FH myocardial infarction female first degree age unknown;http://snomed.info/sct;SNOMED-CT
315619001;FH myocardial infarction male first degree age known;http://snomed.info/sct;SNOMED-CT
315620007;FH myocardial infarction male first degree age unknown;http://snomed.info/sct;SNOMED-CT
420259009;FH: Age at death;http://snomed.info/sct;SNOMED-CT
160469004;FH: Allergy;http://snomed.info/sct;SNOMED-CT
160409001;FH: Alopecia;http://snomed.info/sct;SNOMED-CT
394877006;FH: Alzheimer's disease;http://snomed.info/sct;SNOMED-CT
266888008;FH: Anemia;http://snomed.info/sct;SNOMED-CT
275121006;FH: Angina;http://snomed.info/sct;SNOMED-CT
275911004;FH: Angina at greater than 60 years;http://snomed.info/sct;SNOMED-CT
275932007;FH: Angina at less than 60 years;http://snomed.info/sct;SNOMED-CT
413302005;FH: angina grandparent;http://snomed.info/sct;SNOMED-CT
401065001;FH: Angina in 1st degree female relative <65 years;http://snomed.info/sct;SNOMED-CT
401122004;FH: Angina in 1st degree male relative <55 years;http://snomed.info/sct;SNOMED-CT
394990003;FH: Ankylosing spondylitis;http://snomed.info/sct;SNOMED-CT
160332003;FH: Anxiety state;http://snomed.info/sct;SNOMED-CT
395125009;FH: Aortic aneurysm;http://snomed.info/sct;SNOMED-CT
275134007;FH: Arthritis;http://snomed.info/sct;SNOMED-CT
160362009;FH: Atherosclerosis;http://snomed.info/sct;SNOMED-CT
160474007;FH: Atopy;http://snomed.info/sct;SNOMED-CT
